epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.439,0.61841,3.36287,1.27179,0.57123,0.1659,0.17803,0.15418,0.48785,3.6693,1.09108,0.000234909,0.000234909,0.000234909
2,824.967,0.55591,2.71746,1.19905,0.37126,0.59821,0.27459,0.23272,0.55892,4.08502,1.1979,0.000463545,0.000463545,0.000463545
3,1282.69,0.55867,2.28731,1.1878,0.28094,0.5441,0.38967,0.28467,0.79112,3.88771,1.3952,0.000682757,0.000682757,0.000682757
4,1738.49,0.53894,2.0106,1.17192,0.28684,0.74348,0.51442,0.42533,0.59692,2.67362,1.23327,0.000671588,0.000671588,0.000671588
5,2110.74,0.53263,1.84434,1.15697,0.39381,0.87177,0.59987,0.48564,0.56282,2.30927,1.14909,0.000657451,0.000657451,0.000657451
6,2500.24,0.49978,1.78414,1.14098,0.41382,0.68628,0.67186,0.57529,0.49643,2.17668,1.07063,0.000643314,0.000643314,0.000643314
7,2920.18,0.47361,1.61526,1.1292,0.65779,0.57956,0.67152,0.54282,0.56097,2.14282,1.10862,0.000629177,0.000629177,0.000629177
8,3445.68,0.47076,1.52508,1.11654,0.6495,0.72059,0.7324,0.63796,0.46898,1.91856,1.03827,0.00061504,0.00061504,0.00061504
9,3980.31,0.4712,1.44238,1.11117,0.83031,0.573,0.78326,0.66256,0.5602,1.89647,1.15023,0.000600902,0.000600902,0.000600902
10,4462.03,0.44293,1.34684,1.092,0.56348,0.79695,0.77671,0.67942,0.49529,1.73384,1.07387,0.000586765,0.000586765,0.000586765
11,4697.58,0.43265,1.28348,1.0797,0.60926,0.62909,0.73958,0.65712,0.39261,1.8961,0.95907,0.000572628,0.000572628,0.000572628
12,4947.94,0.41308,1.28684,1.07232,0.64432,0.73995,0.78912,0.68136,0.4583,1.53369,1.0401,0.000558491,0.000558491,0.000558491
13,5204.08,0.42399,1.26256,1.08243,0.8105,0.74533,0.84634,0.78586,0.39853,1.42098,0.95977,0.000544354,0.000544354,0.000544354
14,5462.24,0.38456,1.15955,1.048,0.62523,0.85446,0.84329,0.73471,0.4645,1.45728,1.02963,0.000530216,0.000530216,0.000530216
15,5722.74,0.39545,1.08801,1.05377,0.78642,0.8056,0.83766,0.74288,0.44034,1.25704,1.0028,0.000516079,0.000516079,0.000516079
16,5984.6,0.38983,1.0733,1.06391,0.65114,0.72995,0.79807,0.70422,0.42795,1.38205,0.97548,0.000501942,0.000501942,0.000501942
17,6245.94,0.38779,1.00317,1.04492,0.76383,0.83523,0.8271,0.74685,0.43147,1.21828,1.02604,0.000487805,0.000487805,0.000487805
18,6509.89,0.37578,0.98428,1.04334,0.69937,0.85759,0.84469,0.75087,0.39447,1.18902,0.94596,0.000473668,0.000473668,0.000473668
19,6778.03,0.37968,0.97407,1.0463,0.88203,0.70829,0.86328,0.75963,0.43078,1.25072,1.02246,0.00045953,0.00045953,0.00045953
20,7043.08,0.36087,0.91789,1.03284,0.75071,0.80871,0.84785,0.76502,0.39749,1.18509,0.9804,0.000445393,0.000445393,0.000445393
21,7309.13,0.37985,0.92137,1.04106,0.69031,0.81322,0.84254,0.76891,0.41448,1.26446,0.96879,0.000431256,0.000431256,0.000431256
22,7577.59,0.35766,0.8569,1.03318,0.81027,0.78886,0.85431,0.77412,0.4363,1.15268,1.0141,0.000417119,0.000417119,0.000417119
23,7870.22,0.35664,0.81145,1.02115,0.80187,0.88823,0.89974,0.83578,0.38494,1.02969,0.96034,0.000402982,0.000402982,0.000402982
24,8143.58,0.36038,0.82551,1.0305,0.70155,0.83848,0.85278,0.75809,0.45157,1.10975,1.03176,0.000388844,0.000388844,0.000388844
25,8418.55,0.35559,0.82991,1.0228,0.90351,0.73487,0.86754,0.80788,0.40243,1.1162,0.96793,0.000374707,0.000374707,0.000374707
26,8698.59,0.35249,0.80602,1.03271,0.71572,0.8607,0.84459,0.78422,0.36965,1.08945,0.92862,0.00036057,0.00036057,0.00036057
27,8968.02,0.34173,0.73642,1.01878,0.84089,0.75152,0.86019,0.80372,0.36662,1.14227,0.93578,0.000346433,0.000346433,0.000346433
28,9235.08,0.33629,0.74209,1.0169,0.86062,0.79931,0.84456,0.77042,0.38325,1.09793,0.97472,0.000332296,0.000332296,0.000332296
29,9502.83,0.32996,0.71195,1.01083,0.6696,0.85248,0.84245,0.79441,0.38695,1.06422,0.94155,0.000318158,0.000318158,0.000318158
30,9771.61,0.33133,0.70294,1.00145,0.77682,0.82904,0.87135,0.82548,0.34534,1.04651,0.90191,0.000304021,0.000304021,0.000304021
31,10078.9,0.33133,0.70363,1.01576,0.81216,0.85652,0.85391,0.79446,0.38252,0.96937,0.94373,0.000289884,0.000289884,0.000289884
32,10521.4,0.30506,0.6818,0.99654,0.73692,0.78659,0.85137,0.78226,0.38182,1.06521,0.9286,0.000275747,0.000275747,0.000275747
33,10909,0.3221,0.6693,1.01345,0.85553,0.78506,0.85475,0.79669,0.36297,1.01568,0.91363,0.00026161,0.00026161,0.00026161
