epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.546,0.61841,3.36287,1.27179,0.57123,0.1659,0.17803,0.15418,0.48785,3.6693,1.09108,0.000234909,0.000234909,0.000234909
2,776.62,0.55387,2.72896,1.20012,0.51758,0.43322,0.27507,0.23592,0.5588,4.14515,1.19983,0.0004495,0.0004495,0.0004495
3,1149.37,0.54704,2.3016,1.18175,0.28804,0.82363,0.45548,0.34281,0.7069,3.18656,1.35024,0.000640529,0.000640529,0.000640529
4,1496.55,0.52179,1.99864,1.16319,0.39775,0.67158,0.57329,0.478,0.55432,2.67496,1.11738,0.000607971,0.000607971,0.000607971
5,1738.7,0.52553,1.85567,1.15155,0.39061,0.77667,0.60532,0.48081,0.51389,2.28757,1.08506,0.000572628,0.000572628,0.000572628
6,1996.39,0.48976,1.77946,1.14193,0.52067,0.62206,0.66428,0.5914,0.45595,2.25889,1.05742,0.000537285,0.000537285,0.000537285
7,2256.62,0.45659,1.59204,1.11385,0.61799,0.59375,0.70765,0.58271,0.52182,2.05419,1.11175,0.000501942,0.000501942,0.000501942
8,2527.48,0.44662,1.52382,1.10063,0.75784,0.68869,0.77151,0.67462,0.44543,1.96423,1.04435,0.000466599,0.000466599,0.000466599
9,2788.21,0.44146,1.44209,1.08501,0.6456,0.66896,0.73607,0.67489,0.4191,1.80568,0.98481,0.000431256,0.000431256,0.000431256
10,3053.29,0.41813,1.32453,1.08101,0.72686,0.77457,0.82535,0.74191,0.42136,1.50625,0.98096,0.000395913,0.000395913,0.000395913
11,3316.8,0.35597,1.82804,1.12848,0.62407,0.88424,0.80755,0.67847,0.47049,1.64419,1.03094,0.00036057,0.00036057,0.00036057
12,3582.08,0.32264,1.58395,1.07081,0.58685,0.82731,0.77851,0.7068,0.4318,1.68927,1.00897,0.000325227,0.000325227,0.000325227
13,3851.4,0.29014,1.46257,1.0505,0.82866,0.71568,0.8115,0.72761,0.47248,1.50605,1.01868,0.000289884,0.000289884,0.000289884
14,4116.3,0.27963,1.35604,1.02175,0.90313,0.74822,0.83988,0.75896,0.40105,1.3364,0.95653,0.000254541,0.000254541,0.000254541
15,4378.59,0.25961,1.2195,1.03342,0.80603,0.80229,0.83573,0.75605,0.43396,1.32069,1.00053,0.000219198,0.000219198,0.000219198
16,4641.19,0.2509,1.09336,0.99721,0.76314,0.7893,0.86198,0.80564,0.37197,1.26752,0.91401,0.000183855,0.000183855,0.000183855
17,4904.84,0.24076,1.0864,1.0026,0.73485,0.79966,0.83393,0.77119,0.36261,1.2489,0.90254,0.000148512,0.000148512,0.000148512
18,5165.33,0.23051,1.01832,1.00656,0.69285,0.85775,0.84775,0.79769,0.34637,1.16578,0.8964,0.000113169,0.000113169,0.000113169
19,5427.58,0.22308,0.96688,1.00127,0.70628,0.8979,0.86823,0.82428,0.35066,1.17926,0.89512,7.7826e-05,7.7826e-05,7.7826e-05
20,5690.72,0.21853,0.9544,0.97896,0.70207,0.90026,0.85068,0.79861,0.35895,1.17379,0.90295,4.2483e-05,4.2483e-05,4.2483e-05
